direction,entry_time,exit_time,entry_price,exit_price,pnl_pct,exit_type
LONG,2024-10-12 00:00:00,2024-10-14 03:55:00,62548.3,64112.0075,2.5,TP
LONG,2024-10-14 07:00:00,2024-10-14 14:20:00,64088.5,65690.7125,2.5,TP
LONG,2024-10-14 14:50:00,2024-10-15 13:55:00,65960.6,67609.615,2.5,TP
LONG,2024-10-15 14:15:00,2024-10-15 14:35:00,67043.3,66037.6505,-1.5,SL
LONG,2024-10-15 14:45:00,2024-10-16 10:10:00,65891.9,67539.1975,2.5,TP
LONG,2024-10-24 23:00:00,2024-10-25 17:55:00,68176.3,67153.65550000001,-1.5,SL
LONG,2024-10-27 21:00:00,2024-10-28 19:10:00,67749.4,69443.135,2.5,TP
LONG,2024-10-28 19:25:00,2024-10-29 02:20:00,69790.5,71535.2625,2.5,TP
LONG,2024-10-29 02:45:00,2024-10-29 18:45:00,71220.8,73001.31999999999,2.5,TP
LONG,2024-10-29 20:10:00,2024-10-31 13:50:00,72450.7,71363.9395,-1.5,SL
SHORT,2024-11-04 00:00:00,2024-11-04 21:50:00,68664.0,66947.4,2.5,TP
SHORT,2024-11-04 22:40:00,2024-11-05 07:40:00,67746.6,68762.799,-1.5,SL
LONG,2024-11-05 04:00:00,2024-11-05 14:40:00,68228.5,69934.2125,2.5,TP
LONG,2024-11-05 18:00:00,2024-11-05 19:55:00,70022.5,68972.1625,-1.5,SL
LONG,2024-11-06 04:00:00,2024-11-06 08:00:00,74169.1,73056.5635,-1.5,SL
LONG,2024-11-06 08:35:00,2024-11-06 18:50:00,73239.1,75070.0775,2.5,TP
LONG,2024-11-07 00:55:00,2024-11-10 02:25:00,75361.6,77245.64,2.5,TP
LONG,2024-11-15 08:00:00,2024-11-15 12:05:00,87753.6,89947.44,2.5,TP
LONG,2024-11-21 07:00:00,2024-11-22 07:35:00,97014.6,99439.965,2.5,TP
LONG,2024-11-22 08:45:00,2024-11-22 14:45:00,98989.0,97504.165,-1.5,SL
LONG,2024-11-27 17:00:00,2024-11-29 14:55:00,95676.4,98068.30999999998,2.5,TP
LONG,2024-11-29 16:00:00,2024-11-30 01:10:00,98340.0,96864.9,-1.5,SL
LONG,2024-12-02 12:00:00,2024-12-03 14:30:00,95200.0,93772.0,-1.5,SL
LONG,2024-12-05 02:00:00,2024-12-05 02:40:00,98345.4,100804.03499999999,2.5,TP
LONG,2024-12-05 03:55:00,2024-12-05 15:40:00,103084.8,101538.528,-1.5,SL
LONG,2024-12-05 16:15:00,2024-12-05 18:55:00,101952.4,100423.11399999999,-1.5,SL
LONG,2024-12-05 19:05:00,2024-12-05 19:50:00,100768.1,99256.5785,-1.5,SL
LONG,2024-12-06 00:00:00,2024-12-06 14:25:00,96597.4,99012.33499999999,2.5,TP
LONG,2024-12-06 18:35:00,2024-12-06 23:20:00,101182.8,99665.058,-1.5,SL
SHORT,2024-12-10 00:00:00,2024-12-10 16:40:00,97144.3,94715.6925,2.5,TP
SHORT,2024-12-10 16:45:00,2024-12-10 21:10:00,95219.6,96647.894,-1.5,SL
SHORT,2024-12-10 21:15:00,2024-12-11 08:30:00,96509.9,97957.54849999999,-1.5,SL
LONG,2024-12-11 17:00:00,2024-12-15 12:40:00,100660.3,103176.8075,2.5,TP
LONG,2024-12-15 14:00:00,2024-12-16 00:25:00,102660.8,105227.31999999999,2.5,TP
LONG,2024-12-16 00:45:00,2024-12-16 11:40:00,105810.6,104223.441,-1.5,SL
LONG,2024-12-16 12:20:00,2024-12-16 16:15:00,104076.9,106678.82249999998,2.5,TP
LONG,2024-12-16 19:05:00,2024-12-18 03:05:00,106549.7,104951.45449999999,-1.5,SL
SHORT,2024-12-19 00:00:00,2024-12-19 10:20:00,100573.4,102082.00099999999,-1.5,SL
SHORT,2024-12-19 11:10:00,2024-12-19 15:35:00,102244.4,99688.29,2.5,TP
SHORT,2024-12-19 15:40:00,2024-12-19 18:15:00,100206.7,97701.5325,2.5,TP
SHORT,2024-12-19 18:25:00,2024-12-19 20:10:00,98424.3,95963.6925,2.5,TP
SHORT,2024-12-19 20:15:00,2024-12-19 22:50:00,96663.8,98113.757,-1.5,SL
SHORT,2024-12-19 23:00:00,2024-12-20 08:50:00,97890.8,95443.53,2.5,TP
SHORT,2024-12-20 09:30:00,2024-12-20 11:30:00,95564.0,93174.9,2.5,TP
SHORT,2024-12-20 11:45:00,2024-12-20 13:30:00,93309.3,94708.9395,-1.5,SL
SHORT,2024-12-20 14:00:00,2024-12-20 15:10:00,94844.0,96266.65999999999,-1.5,SL
SHORT,2024-12-20 16:30:00,2024-12-21 05:55:00,97151.6,98608.874,-1.5,SL
SHORT,2024-12-26 10:00:00,2024-12-27 09:05:00,95313.8,96743.507,-1.5,SL
SHORT,2024-12-27 22:00:00,2024-12-30 14:55:00,94236.4,91880.48999999999,2.5,TP
SHORT,2024-12-30 15:10:00,2024-12-30 17:35:00,91712.7,93088.3905,-1.5,SL
SHORT,2024-12-30 20:25:00,2024-12-30 21:50:00,94615.3,92249.9175,2.5,TP
SHORT,2024-12-30 22:15:00,2024-12-31 08:25:00,92535.9,93923.93849999999,-1.5,SL
LONG,2025-01-03 00:00:00,2025-01-06 04:50:00,96952.5,99376.31249999999,2.5,TP
LONG,2025-01-06 16:10:00,2025-01-07 11:40:00,102171.9,100639.32149999999,-1.5,SL
SHORT,2025-01-08 00:00:00,2025-01-08 17:05:00,96669.5,94252.7625,2.5,TP
SHORT,2025-01-08 17:15:00,2025-01-09 01:20:00,93885.9,95294.18849999999,-1.5,SL
SHORT,2025-01-09 01:30:00,2025-01-09 13:30:00,95179.8,92800.30500000001,2.5,TP
SHORT,2025-01-10 08:00:00,2025-01-13 10:25:00,94413.0,92052.675,2.5,TP
SHORT,2025-01-13 14:00:00,2025-01-13 15:05:00,90926.6,92290.499,-1.5,SL
SHORT,2025-01-13 15:25:00,2025-01-13 20:50:00,92178.1,93560.7715,-1.5,SL
LONG,2025-01-14 10:00:00,2025-01-14 16:40:00,97032.7,95577.2095,-1.5,SL
LONG,2025-01-14 16:55:00,2025-01-15 13:30:00,95703.8,98096.39499999999,2.5,TP
LONG,2025-01-15 14:15:00,2025-01-17 01:40:00,98799.9,101269.89749999999,2.5,TP
LONG,2025-01-17 08:00:00,2025-01-17 15:05:00,101501.1,104038.6275,2.5,TP
LONG,2025-01-17 15:20:00,2025-01-19 22:45:00,103874.7,102316.57949999999,-1.5,SL
LONG,2025-01-20 04:00:00,2025-01-20 06:40:00,101569.6,104108.84,2.5,TP
LONG,2025-01-20 07:55:00,2025-01-20 15:55:00,107178.8,105571.118,-1.5,SL
LONG,2025-01-21 16:00:00,2025-01-21 18:30:00,103972.0,106571.29999999999,2.5,TP
LONG,2025-01-23 12:00:00,2025-01-23 14:35:00,101860.5,104407.0125,2.5,TP
LONG,2025-01-23 15:05:00,2025-01-23 16:10:00,103412.0,105997.29999999999,2.5,TP
