entry_ts,exit_ts,dir,entry,exit,type,pnl,month
2025-11-18 03:35:54,2025-11-18 08:38:10,SHORT,89920.0,91268.98,SL,-1.478026816997402,2025-11
2025-11-20 20:15:00,2025-11-20 21:47:14,SHORT,86341.02,87639.17,SL,-1.4812440601616794,2025-11
2025-11-20 23:06:34,2025-11-21 02:57:50,SHORT,87786.78,85588.0,TP,2.5690283684628668,2025-11
2025-11-21 03:01:58,2025-11-21 07:33:56,SHORT,85676.7,83501.01,TP,2.605585249807163,2025-11
2025-11-21 07:41:12,2025-11-21 09:52:13,SHORT,84495.13,82364.16,TP,2.587253970659087,2025-11
2025-11-30 07:55:00,2025-12-01 00:19:08,SHORT,90928.51,88650.03,TP,2.5701965357484813,2025-11
2025-12-01 03:10:00,2025-12-01 15:34:34,SHORT,86470.01,84280.01,TP,2.5984809446510493,2025-12
2025-12-01 15:51:10,2025-12-01 21:08:03,SHORT,84616.0,85906.7,SL,-1.5024439304501258,2025-12
2025-12-01 21:10:00,2025-12-02 01:06:38,SHORT,85884.67,87185.24,SL,-1.491731857364853,2025-12
2025-12-02 01:14:14,2025-12-02 14:08:14,SHORT,86723.51,88099.8,SL,-1.562194238806458,2025-12
2025-12-03 00:38:38,2025-12-03 05:06:09,LONG,91187.5,93469.23,TP,2.5022398903358445,2025-12
2025-12-03 05:10:00,2025-12-03 14:02:55,LONG,93514.58,92102.41,SL,-1.5101067662390166,2025-12
2025-12-03 14:17:16,2025-12-04 19:21:08,LONG,92381.7,90984.94,SL,-1.5119444651916947,2025-12
2025-12-05 11:35:00,2025-12-05 16:07:33,LONG,91159.02,89764.7,SL,-1.5295469389644656,2025-12
2025-12-06 00:00:00,2025-12-07 17:25:02,SHORT,89330.04,90679.99,SL,-1.4886966793887124,2025-12
2025-12-09 19:35:00,2025-12-09 21:45:25,LONG,94046.96,92635.48,SL,-1.5008246943867265,2025-12
2025-12-09 21:57:48,2025-12-11 00:42:21,LONG,92694.53,91289.69,SL,-1.5155586850701952,2025-12
